Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Other ID,Integration,Owned By,Comment,Comment,Task,Task Status,Task,Task Status,Task,Task Status
134650385,"As a manager of the bus ticketing system, only I able to view the transaction, exception and summary report so that I  make the decision making on how to improve on my bus ticketing system and business.","",2,"Dec 5, 2016","Dec 18, 2016",feature,2,accepted,"Nov 20, 2016","Dec 12, 2016",,LEE CHAN XIAN SHAUN,,https://www.pivotaltracker.com/story/show/134650385,,,LEE CHAN XIAN SHAUN,"Commit by LeeChanXian
https://github.com/JinHuaTan/BusTicketingSystem/commit/a5992bdc95a9ca1e3868bc6336af69ffac31d318

Add files via upload

1_Developers: [Shaun Lee Chan Xian], [Sim Chee Kent]
2_Time: [8 hours]
3_Use_case: [#134650385], [As a manager of the bus ticketing system, only I able to view the transaction, exception and summary report so that I  make the decision making on how to improve on my bus ticketing system and business.] (Soo Xingliang - Dec 22, 2016)"
134993897,"As a counter staff, I want payment system can calculate GST amount so customer able to know how many of tax they require to pay.","",2,"Dec 5, 2016","Dec 18, 2016",feature,1,accepted,"Nov 27, 2016","Dec 12, 2016",,Jin Hua,,https://www.pivotaltracker.com/story/show/134993897,,,Jin Hua,"Commit by JinHuaTan
https://github.com/JinHuaTan/BusTicketingSystem/commit/440efcb76c5e389e2b3b486facd90a2c5951fe13

Calculate payment GST

1_Developers: [Tan Jin Hua], [Soo Xing Liang]
2_Time: [4 hours]
3_Use_case: [#134993897], [As a counter staff, I want payment system can calculate GST amount so customer able to know how many of tax they require to pay.] (Soo Xingliang - Dec 22, 2016)"
134994817,"As a Driver, I want to have access to view all the travel location the company have even though there is no assignment on me so that I can have a overview of where the company capable of travelling.","",2,"Dec 5, 2016","Dec 18, 2016",feature,3,accepted,"Nov 27, 2016","Dec 12, 2016",,bla bla bla,,https://www.pivotaltracker.com/story/show/134994817,,,bla bla bla
134993919,"As a counter staff, I want payment system able to calculate grand total of price so customer can know how much they need to pay.","",2,"Dec 5, 2016","Dec 18, 2016",feature,1,accepted,"Nov 27, 2016","Dec 12, 2016",,Jin Hua,,https://www.pivotaltracker.com/story/show/134993919,,,Jin Hua,"Commit by JinHuaTan
https://github.com/JinHuaTan/BusTicketingSystem/commit/ec957d9e107df2dbbbd911f543136c92fe2ae64c

Calculate Payment Grand Total

1_Developers: [Tan Jin Hua], [Soo XingLiang]
2_Time: [4 hours]
3_Use_case: [#134993919], [As a counter staff, I want payment system able to calculate grand total of price so customer can know how much they need to pay.] (Soo Xingliang - Dec 22, 2016)"
135033439,"As a manager, I want the tickets to be refundable because customer might request for refund due to some emergencies.","",2,"Dec 5, 2016","Dec 18, 2016",feature,1,accepted,"Nov 28, 2016","Dec 14, 2016",,Soo Xingliang,,https://www.pivotaltracker.com/story/show/135033439,,,Soo Xingliang,"Commit by sooxl1996
https://github.com/JinHuaTan/BusTicketingSystem/commit/fc7b8b1c0c5be4670a9ddf857208b4cd443f749f

Add Refund for Transaction

1_Developers: [Soo Xingliang], [Tan Jin Hua]
2_Time: [4Hours]
3_Use_case: [#135033439], [As a manager, I want the tickets to be refundable because customer might request for refund due to some emergencies.] (Soo Xingliang - Dec 22, 2016)"
134995185,"As a manager, i want the system able to produce monthly and yearly report for the transaction and exception","",2,"Dec 5, 2016","Dec 18, 2016",feature,2,accepted,"Nov 27, 2016","Dec 14, 2016",,LEE CHAN XIAN SHAUN,,https://www.pivotaltracker.com/story/show/134995185,,,LEE CHAN XIAN SHAUN,"Commit by LeeChanXian
https://github.com/JinHuaTan/BusTicketingSystem/commit/681cd8fb35f30e39b7da6fd81151170d74d4c0a6

Add files via upload

1_Developers: [Shaun Lee Chan Xian], [Sim Chee Kent]
2_Time: [8 hours]
3_Use_case: [#134995185], [As a manager, i want the system able to produce monthly and yearly report for the transaction and exception] (Soo Xingliang - Dec 22, 2016)"
135033723,"As a counter staff, I want the trip details to be shown clearly so that the chances of making mistake is lower.","",2,"Dec 5, 2016","Dec 18, 2016",feature,1,accepted,"Nov 28, 2016","Dec 14, 2016",,Soo Xingliang,,https://www.pivotaltracker.com/story/show/135033723,,,Soo Xingliang,"Commit by sooxl1996
https://github.com/JinHuaTan/BusTicketingSystem/commit/89b2c06e04209e6f086342f2d8d57b1d86a42522

Display Trip Details Before Selecting

1_Developers: [Soo Xingliang], [Tan Jin Hua]
2_Time: [4Hours]
3_Use_case: [#135033723], [As a counter staff, I want the trip details to be shown clearly so that the chances of making mistake is lower.] (Soo Xingliang - Dec 22, 2016)"
134650509,"As a Counter Staff, I want visualize the seat position of the bus so customer can identify their seats easily.","",2,"Dec 5, 2016","Dec 18, 2016",feature,2,accepted,"Nov 20, 2016","Dec 17, 2016",,Soo Xingliang,,https://www.pivotaltracker.com/story/show/134650509,,,Soo Xingliang,"Commit by sooxl1996
https://github.com/JinHuaTan/BusTicketingSystem/commit/c2689fd1b97c93256c4157cca728b055604422d4

Add Bus Seat Position Stimulation

1_Developers: [Soo Xingliang], [Tan Jin Hua]
2_Time: [8Hours]
3_Use_case: [#134650509], [As a Counter Staff, I want visualize the seat position of the bus so customer can identify their seats easily.] (Soo Xingliang - Dec 22, 2016)"
134994277,"As a Driver, i want to have filter to categorize the Ticket sold for the trip to see what I want to see.","",2,"Dec 5, 2016","Dec 18, 2016",feature,2,accepted,"Nov 27, 2016","Dec 17, 2016",,bla bla bla,,https://www.pivotaltracker.com/story/show/134994277,,,bla bla bla
134994557,"As a Driver, I want to have my login page to be simple and clean so I can avoid mistake and slow reaction because I am not a good technology user.","",2,"Dec 5, 2016","Dec 18, 2016",feature,1,accepted,"Nov 27, 2016","Dec 17, 2016",,bla bla bla,,https://www.pivotaltracker.com/story/show/134994557,,,bla bla bla
135034033,"As a counter staff, I want sorting for the trips in the trip selection page so that it is easier to view and identify the latest trip.","",2,"Dec 5, 2016","Dec 18, 2016",feature,1,accepted,"Nov 28, 2016","Dec 17, 2016",,Soo Xingliang,,https://www.pivotaltracker.com/story/show/135034033,,,Soo Xingliang,"Commit by sooxl1996
https://github.com/JinHuaTan/BusTicketingSystem/commit/c73a663f1e7bf66cf2198bf7544922666acc046a

Add Sorting at Trip Selection Page

1_Developers: [Soo Xingliang], [Tan Jin Hua]
2_Time: [4 Hours]
3_Use_case: [#135034033], [As a counter staff, I want sorting for the trips in the trip selection page so that it is easier to view and identify the latest trip.] (Soo Xingliang - Dec 22, 2016)"
134993939,"As a Counter Staff, I want payment system can insert amount paid from customer so I can give back customer changes money when customer paid more than grand total.","",2,"Dec 5, 2016","Dec 18, 2016",feature,1,accepted,"Nov 27, 2016","Dec 17, 2016",,Jin Hua,,https://www.pivotaltracker.com/story/show/134993939,,,Jin Hua,"Commit by JinHuaTan
https://github.com/JinHuaTan/BusTicketingSystem/commit/5134dc58cb53728f79f20f14610ef4f57b0aeaa5

Display amount paid

1_Developers: [Tan Jin Hua], [Soo Xingliang]
2_Time: [4 hours]
3_Use_case: [#134993939], [As a Counter Staff, I want payment system can insert amount paid from customer so I can give back customer changes money when customer paid more than grand total.] (Soo Xingliang - Dec 22, 2016)"
134993961,"As Counter Staff, I want payment system able to display ticket and receipt after finish payment so customer can get their ticket and receipt for reference. ","",2,"Dec 5, 2016","Dec 18, 2016",feature,2,accepted,"Nov 27, 2016","Dec 17, 2016",,Jin Hua,,https://www.pivotaltracker.com/story/show/134993961,,,Jin Hua,"Commit by JinHuaTan
https://github.com/JinHuaTan/BusTicketingSystem/commit/a793c0ba6e683b2f3664276350481a603df4b0db

Display ticket and receipt after payment

1_Developers: [Tan Jin Hua], [Soo XingLiang]
2_Time: [8 hours]
3_Use_case: [#134993961], [As Counter Staff, I want payment system able to display ticket and receipt after finish payment so customer can get their ticket and receipt for reference. ] (Soo Xingliang - Dec 22, 2016)"
134995221,"As a manager, i want to know about my employee information so that i can make arrangement on the timetable","",2,"Dec 5, 2016","Dec 18, 2016",feature,1,accepted,"Nov 27, 2016","Dec 17, 2016",,LEE CHAN XIAN SHAUN,,https://www.pivotaltracker.com/story/show/134995221,,,LEE CHAN XIAN SHAUN,"Commit by LeeChanXian
https://github.com/JinHuaTan/BusTicketingSystem/commit/7f386a3ea992c173df860029bbe909398aec5f7a

Add files via upload

1_Developers: [Shaun Lee Chan Xian], [Sim Chee Kent]
2_Time: [4 hours]
3_Use_case: [#134995221], [As a manager, i want to know about my employee information so that i can make arrangement on the timetable] (Soo Xingliang - Dec 22, 2016)"
134650389,"As a manager of the bus ticketing system, I  able to put supervisor in each of the counter that I selected so that I able to have a better management control in each counter.","",2,"Dec 5, 2016","Dec 18, 2016",feature,2,accepted,"Nov 20, 2016","Dec 17, 2016",,LEE CHAN XIAN SHAUN,,https://www.pivotaltracker.com/story/show/134650389,,,LEE CHAN XIAN SHAUN,"Commit by LeeChanXian
https://github.com/JinHuaTan/BusTicketingSystem/commit/83c044f20c2596a88e014147e5f0dd19ad82d78c

Add files via upload

1_Developers: [Shaun Lee Chan Xian], [Sim Chee Kent]
2_Time: [8 hours]
3_Use_case: [#134650389], [As a manager of the bus ticketing system, I  able to put supervisor in each of the counter that I selected so that I able to have a better management control in each counter.] (Soo Xingliang - Dec 22, 2016)"
